,portfolio,date
326,15671.246171293154,2018-04-20
327,15707.46322382116,2018-04-23
328,15394.069614527978,2018-04-24
329,15475.58382824375,2018-04-25
330,15547.79842546421,2018-04-26
331,15513.57383649013,2018-04-27
332,15609.133883798797,2018-04-30
333,15762.201753744737,2018-05-01
334,16051.823344616876,2018-05-02
335,16070.585975247826,2018-05-03
336,16418.99138811159,2018-05-04
337,16538.66158949844,2018-05-07
338,16610.31717130866,2018-05-08
339,16727.362018019594,2018-05-09
340,16899.355788697,2018-05-10
341,16913.931794568933,2018-05-11
342,16911.105841819972,2018-05-14
343,16803.260899082707,2018-05-15
344,16935.44756991779,2018-05-16
345,16889.11892996492,2018-05-17
346,16809.839227680637,2018-05-18
347,16930.40190337685,2018-05-21
348,16869.372454958422,2018-05-22
349,16927.546434039275,2018-05-23
350,16841.271534445827,2018-05-24
351,16739.440532179317,2018-05-25
352,16594.16933189951,2018-05-29
353,16710.272263317456,2018-05-30
354,16633.325406771462,2018-05-31
355,16802.533165283374,2018-06-01
356,16864.030546543578,2018-06-04
357,16949.00115260038,2018-06-05
358,17058.16147269492,2018-06-06
359,17152.451968622434,2018-06-07
360,17071.701953112028,2018-06-08
361,17084.504773109955,2018-06-11
362,17139.17605578625,2018-06-12
363,17022.621026627832,2018-06-13
364,17028.401595400792,2018-06-14
365,16832.025783646324,2018-06-15
366,16812.077133268507,2018-06-18
367,16529.144237582066,2018-06-19
368,16563.50035316748,2018-06-20
369,16385.33782248953,2018-06-21
370,16406.960322431405,2018-06-22
371,16124.189881697162,2018-06-25
372,16249.526792852073,2018-06-26
373,16240.683932750668,2018-06-27
374,16346.390114388812,2018-06-28
375,16329.69218057323,2018-06-29
376,16429.430329700423,2018-07-02
377,16191.589208434008,2018-07-03
378,16314.889687262952,2018-07-05
379,16457.47637409039,2018-07-06
380,16729.901758995034,2018-07-09
381,16751.80349822756,2018-07-10
382,16535.329682214353,2018-07-11
383,16793.903673006353,2018-07-12
384,16786.229841691027,2018-07-13
385,16771.781124263965,2018-07-16
386,16822.194174690307,2018-07-17
387,16808.85171914953,2018-07-18
388,16816.267179426166,2018-07-19
389,16787.450132765236,2018-07-20
390,16825.160581580218,2018-07-23
391,16908.47056766807,2018-07-24
392,17087.808001265916,2018-07-25
393,17042.24968286531,2018-07-26
394,16787.754753298028,2018-07-27
395,16562.50098779336,2018-07-30
396,16543.160351868402,2018-07-31
397,17144.51383828615,2018-08-01
398,17525.119892574756,2018-08-02
399,17599.329383340042,2018-08-03
400,17689.395439755215,2018-08-06
401,17660.183066838086,2018-08-07
402,17714.883044474096,2018-08-08
403,17808.45913663522,2018-08-09
404,17704.654193505623,2018-08-10
405,17762.77413643237,2018-08-13
406,17845.916204118403,2018-08-14
407,17809.04063520716,2018-08-15
408,18068.532463390053,2018-08-16
409,18312.746447314443,2018-08-17
410,18261.09156650516,2018-08-20
411,18277.487173874317,2018-08-21
412,18332.991742961607,2018-08-22
413,18323.097841733772,2018-08-23
414,18442.991537173122,2018-08-24
415,18609.110436273713,2018-08-27
416,18722.71551337089,2018-08-28
417,18875.39618021089,2018-08-29
418,18871.77319922123,2018-08-30
419,18994.272844112125,2018-08-31
420,19067.13823524344,2018-09-04
421,18892.964310892712,2018-09-05
422,18736.10592470451,2018-09-06
423,18699.801685036004,2018-09-07
424,18651.900473448022,2018-09-10
425,18923.65463601546,2018-09-11
426,18856.75207648083,2018-09-12
427,19150.23194941742,2018-09-13
428,19096.20101119336,2018-09-14
429,18841.201926572452,2018-09-17
430,18938.944815938572,2018-09-18
431,18984.610630183863,2018-09-19
432,19179.201746250277,2018-09-20
433,19138.723930005766,2018-09-21
434,19150.597934687714,2018-09-24
435,19191.266568858406,2018-09-25
436,19001.72205363926,2018-09-26
437,19119.5987654045,2018-09-27
438,19067.052635057244,2018-09-28
439,19218.279437488167,2018-10-01
440,19354.827375653524,2018-10-02
441,19476.490878236422,2018-10-03
442,19301.087860055773,2018-10-04
443,19121.685190887412,2018-10-05
444,19055.282165143773,2018-10-08
445,19077.239236307545,2018-10-09
446,18400.759661808806,2018-10-10
447,18053.495166331722,2018-10-11
448,18459.397395424305,2018-10-12
449,18247.182828241268,2018-10-15
450,18626.222238522,2018-10-16
451,18597.1147841451,2018-10-17
452,18290.499020772106,2018-10-18
453,18556.10306813171,2018-10-19
454,18425.042740865338,2018-10-22
455,18204.44758787448,2018-10-23
456,17612.690024032923,2018-10-24
457,17940.343578924145,2018-10-25
458,17695.20733913504,2018-10-26
459,17498.933103501236,2018-10-29
460,17681.680325570727,2018-10-30
461,18015.98813297369,2018-10-31
462,18221.239771581455,2018-11-01
463,17768.192680048167,2018-11-02
464,17799.30865962076,2018-11-05
465,17911.61759941755,2018-11-06
466,18418.24534556382,2018-11-07
467,18364.413084613814,2018-11-08
468,18136.190931534362,2018-11-09
469,17629.01532144245,2018-11-12
470,17629.737348259194,2018-11-13
471,17408.56013570256,2018-11-14
472,17771.902700132,2018-11-15
473,17855.603406793583,2018-11-16
474,17437.44550005367,2018-11-19
475,17048.79405366682,2018-11-20
476,17049.617436199398,2018-11-21
477,16815.467978495544,2018-11-23
478,17190.861223864667,2018-11-26
479,17218.127872112367,2018-11-27
480,17769.20697705154,2018-11-28
481,17686.902534179953,2018-11-29
482,17868.670562321007,2018-11-30
483,18095.392348255664,2018-12-03
484,17271.899406620465,2018-12-04
485,17251.89526796053,2018-12-06
486,16743.10449702293,2018-12-07
487,16753.920399230505,2018-12-10
488,16670.706860436316,2018-12-11
489,16879.336212144965,2018-12-12
490,16928.11833958757,2018-12-13
491,16711.842531093425,2018-12-14
492,16392.319310983465,2018-12-17
493,16406.50252433903,2018-12-18
494,16075.344235454713,2018-12-19
495,15794.41803057246,2018-12-20
496,15423.448029532776,2018-12-21
497,15025.636442829267,2018-12-24
498,15983.299441885763,2018-12-26
499,16111.211145228533,2018-12-27
500,16041.77335632687,2018-12-28
501,16202.649045715838,2018-12-31
502,16194.33074847014,2019-01-02
503,15295.981568951243,2019-01-03
504,15963.051493830402,2019-01-04
505,15993.720943265722,2019-01-07
506,16176.956899228979,2019-01-08
507,16335.070579560732,2019-01-09
508,16501.981097387074,2019-01-10
509,16384.402330187928,2019-01-11
510,16255.122580253663,2019-01-14
511,16343.43294661013,2019-01-15
512,16438.50540019616,2019-01-16
513,16622.936015356376,2019-01-17
514,16851.507960810322,2019-01-18
515,16445.359316229344,2019-01-22
516,16471.640014850345,2019-01-23
517,16402.47775137409,2019-01-24
518,16829.904509591273,2019-01-25
519,16259.550011680116,2019-01-28
520,16222.846792006045,2019-01-29
521,16905.358459286548,2019-01-30
522,17138.587235615916,2019-01-31
523,17171.69731791276,2019-02-01
524,17407.455678691047,2019-02-04
525,17599.71799925164,2019-02-05
526,17554.24923515801,2019-02-06
527,17263.462143093766,2019-02-07
528,17315.637606690594,2019-02-08
529,17376.352742030333,2019-02-11
530,17664.677445085494,2019-02-12
531,17573.93113729164,2019-02-13
532,17570.92841575095,2019-02-14
533,17715.601049327295,2019-02-15
534,17740.028396741713,2019-02-19
535,17840.23003734496,2019-02-20
536,17768.756079290528,2019-02-21
537,17934.019519773286,2019-02-22
538,18063.25230604689,2019-02-25
539,18069.195168705537,2019-02-26
540,18141.283625239346,2019-02-27
541,18091.432908165818,2019-02-28
542,18204.988809040406,2019-03-01
543,18175.77472458241,2019-03-04
544,18144.22224326729,2019-03-05
545,18110.471007034375,2019-03-06
546,17940.45037970807,2019-03-07
547,17923.588873922592,2019-03-08
548,18179.682541509723,2019-03-11
549,18198.60687753526,2019-03-12
550,18360.09915876558,2019-03-13
551,18416.03780466714,2019-03-14
552,18613.137037163477,2019-03-15
553,18683.605667160708,2019-03-18
554,18578.987448926197,2019-03-19
555,18461.218150210912,2019-03-20
556,18767.721264842174,2019-03-21
557,18359.727535978567,2019-03-22
558,18284.03079681223,2019-03-25
559,18337.354816627503,2019-03-26
560,18306.502091561593,2019-03-27
561,18353.166209383686,2019-03-28
562,18483.99888099382,2019-03-29
563,18830.79574421417,2019-04-01
564,18845.015122296245,2019-04-02
565,18870.902738275225,2019-04-03
566,18878.186481811437,2019-04-04
567,18964.36608188897,2019-04-05
568,18999.397609085783,2019-04-08
569,18847.086809762488,2019-04-09
570,18962.745718590777,2019-04-10
571,18917.567756110086,2019-04-11
572,19108.436974245513,2019-04-12
573,19078.191252548386,2019-04-15
574,19266.743963669196,2019-04-16
575,19259.69639721228,2019-04-17
576,19458.90351431149,2019-04-18
577,19322.305015957012,2019-04-22
578,19503.85226423083,2019-04-23
579,19477.220198763996,2019-04-24
580,19570.02302528741,2019-04-25
581,19628.87300837835,2019-04-26
582,19544.709223323272,2019-04-29
583,19577.66751961546,2019-04-30
584,19500.848159512916,2019-05-01
585,19426.3972938996,2019-05-02
586,19694.26063361433,2019-05-03
587,19639.191153634692,2019-05-06
588,19378.492463503168,2019-05-07
