,portfolio,date
371,19956.978926565847,2018-06-25
372,20023.85155884524,2018-06-26
373,19955.16438288898,2018-06-27
374,20114.820372461207,2018-06-28
375,20152.669535787114,2018-06-29
376,20210.861811288545,2018-07-02
377,20006.78066858148,2018-07-03
378,20077.306386830114,2018-07-05
379,20197.527973350403,2018-07-06
380,20540.04851969953,2018-07-09
381,20717.704106495417,2018-07-10
382,20410.204728176133,2018-07-11
383,20680.82929987825,2018-07-12
384,20787.453932257293,2018-07-13
385,20923.97069100972,2018-07-16
386,20951.88317168294,2018-07-17
387,21017.103864054705,2018-07-18
388,20853.92920351591,2018-07-19
389,20813.326151554968,2018-07-20
390,20852.412208012385,2018-07-23
391,20986.522233273663,2018-07-24
392,21140.191490763485,2018-07-25
393,21179.956248347728,2018-07-26
394,21101.772404218056,2018-07-27
395,20898.472784789905,2018-07-30
396,21063.04434697567,2018-07-31
397,21073.696396498097,2018-08-01
398,21119.412642304535,2018-08-02
399,21328.646478059713,2018-08-03
400,21316.808822215222,2018-08-06
401,21523.077507705253,2018-08-07
402,21326.15303319004,2018-08-08
403,21196.733473283246,2018-08-09
404,21116.31509052621,2018-08-10
405,21145.07450849233,2018-08-13
406,21190.35324687457,2018-08-14
407,21145.164755995243,2018-08-15
408,21429.814283421845,2018-08-16
409,21546.56625839736,2018-08-17
410,21632.311459504333,2018-08-20
411,21650.592792065843,2018-08-21
412,21719.562083586985,2018-08-22
413,21618.636789828302,2018-08-23
414,21659.836217862197,2018-08-24
415,21860.56876077249,2018-08-27
416,21863.68215016057,2018-08-28
417,21917.975527841907,2018-08-29
418,21904.6317100045,2018-08-30
419,21858.641077588054,2018-08-31
420,21707.830761259436,2018-09-04
421,21737.749803052473,2018-09-05
422,21634.880966370172,2018-09-06
423,21681.311631892968,2018-09-07
424,22080.38319180054,2018-09-10
425,22009.45739659855,2018-09-11
426,21995.74573833162,2018-09-12
427,22249.097569017616,2018-09-13
428,22158.590859766093,2018-09-14
429,22125.694359711702,2018-09-17
430,22260.60629260076,2018-09-18
431,22338.670592546572,2018-09-19
432,22556.939058873337,2018-09-20
433,22539.173754561347,2018-09-21
