,portfolio,date
382,14247.616534361505,2018-07-11
383,14434.063500074912,2018-07-12
384,14462.20320841637,2018-07-13
385,14431.01453448568,2018-07-16
386,14454.176502206385,2018-07-17
387,14421.501818394721,2018-07-18
388,14433.504218123742,2018-07-19
389,14389.276699132735,2018-07-20
390,14408.393452151266,2018-07-23
391,14508.916560823474,2018-07-24
392,14645.501453757532,2018-07-25
393,14629.427136802064,2018-07-26
394,14473.279272893516,2018-07-27
395,14333.90913577471,2018-07-30
396,14426.36176849459,2018-07-31
397,14976.846409230742,2018-08-01
398,15275.44368502963,2018-08-02
399,15320.16638115287,2018-08-03
400,15359.104833229605,2018-08-06
401,15316.769675018535,2018-08-07
402,15282.677942161503,2018-08-08
403,15330.926168857526,2018-08-09
404,15241.296668846682,2018-08-10
405,15300.501876389975,2018-08-13
406,15355.17331272637,2018-08-14
407,15299.375655518585,2018-08-15
408,15609.366729261179,2018-08-16
409,15833.968425907318,2018-08-17
410,15777.137732783696,2018-08-20
411,15792.589499210946,2018-08-21
412,15749.876954252824,2018-08-22
413,15731.86821784514,2018-08-23
414,15789.473348838663,2018-08-24
415,15969.441712221658,2018-08-27
416,16035.407358072714,2018-08-28
417,16197.034348801366,2018-08-29
418,16245.572362876443,2018-08-30
419,16336.01763159718,2018-08-31
420,16381.294040055165,2018-09-04
421,16320.074165257722,2018-09-05
422,16155.831109136856,2018-09-06
423,16038.214253532336,2018-09-07
424,15846.249108623337,2018-09-10
425,16139.222825408533,2018-09-11
426,16018.923822117162,2018-09-12
427,16345.912006263343,2018-09-13
428,16197.206905666902,2018-09-14
429,15873.389350507423,2018-09-17
430,15918.517986336667,2018-09-18
431,15935.487931835378,2018-09-19
432,16067.571182107355,2018-09-20
433,15934.69184309118,2018-09-21
434,16090.819316825766,2018-09-24
435,16153.915637910422,2018-09-25
436,16042.535321953552,2018-09-26
437,16310.045114853017,2018-09-27
438,16318.683866181185,2018-09-28
439,16416.2216723933,2018-10-01
440,16531.725020653354,2018-10-02
441,16675.41253125002,2018-10-03
442,16395.07864833562,2018-10-04
443,16179.687287030492,2018-10-05
444,16163.726237672377,2018-10-08
445,16331.14727599285,2018-10-09
446,15654.86057845614,2018-10-10
447,15435.72556517423,2018-10-11
448,15909.872763699472,2018-10-12
449,15627.658902812076,2018-10-15
450,15999.434830876315,2018-10-16
451,15952.598688828195,2018-10-17
452,15645.081163715373,2018-10-18
453,15839.808331353004,2018-10-19
454,15855.605126044338,2018-10-22
455,15966.491587132796,2018-10-23
456,15382.970031444616,2018-10-24
457,15652.079206474678,2018-10-25
458,15407.338203208059,2018-10-26
459,15205.980379576644,2018-10-29
460,15284.381424987116,2018-10-30
461,15659.425641500462,2018-10-31
462,15848.321290293752,2018-11-01
463,14944.882167290147,2018-11-02
464,14683.57692831442,2018-11-05
465,14817.768566263667,2018-11-06
466,15276.549819025606,2018-11-07
467,15208.433998144874,2018-11-08
468,14931.1078597876,2018-11-09
469,14291.414228789716,2018-11-12
470,14177.904243468289,2018-11-13
471,13839.232990495168,2018-11-14
472,14176.89221890838,2018-11-15
473,14299.518159062434,2018-11-16
474,13810.896027467383,2018-11-19
475,13255.386789595408,2018-11-20
476,13284.533441419597,2018-11-21
477,12992.95072909718,2018-11-23
478,13171.927150878118,2018-11-26
479,13158.52693297891,2018-11-27
480,13625.79130289696,2018-11-28
481,13563.088248849994,2018-11-29
482,13567.253337138805,2018-11-30
483,13903.895883627574,2018-12-03
484,13296.489253707743,2018-12-04
485,13174.924774843885,2018-12-06
486,12765.116141878318,2018-12-07
487,12836.645213789789,2018-12-10
488,12775.803201822147,2018-12-11
489,12843.630519648836,2018-12-12
490,12932.138549171554,2018-12-13
491,12581.845999822195,2018-12-14
492,12385.043001917371,2018-12-17
493,12544.75008832438,2018-12-18
494,12214.210926084907,2018-12-19
495,11933.024156470268,2018-12-20
496,11498.533579286348,2018-12-21
497,11253.124436514516,2018-12-24
498,11964.028877639077,2018-12-26
499,11990.649245443255,2018-12-27
500,11987.737075174831,2018-12-28
501,12131.451911939423,2018-12-31
